id,week,date,male,age,nationality,origin,language_1,language_2,civil,hcomp,hcomp_other,benefit_2y_1,benefit_2y_2,benefit_2y_3,educ,work_2y,work_2y_type_1,work_2y_type_2,work_2y_type_3,work_2y_type_other,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6,cont_7,cont_8,cont_9,cw_1,cw_2,cw_3,cw_4,cw_5,cw_6,cw_7,cw_8,cw_9,sat,exempt,exempt_reason_1,exempt_reason_2,exempt_reason_other,eff_beh_1,eff_beh_2,eff_beh_3,eff_beh_4,eff_beh_5,eff_beh_6,eff_beh_7,eff_beh_8,eff_beh_9,eff_out_1,eff_out_2,eff_out_3,eff_out_4,eff_out_5,eff_out_6,eff_out_7,intensity_pl,effort_pl,sw_01,sw_02,sw_03,sw_04,sw_05,sw_06,sw_07,sw_08,sw_09,sw_10,sw_11,sw_12,sw_13,sw_14,soc_belonging,rm_01,rm_02,rm_03,rm_04,rm_05,rm_06,rm_07,rm_08,rm_09,rm_10,rm_11,rm_12,cw,treatment,sa,sa_reason,sa_reason_other,cw_ass
9953,46,15112017,1,63,0,0,0,,2,2,,2,,,1,3,,,,,5,1,5,2,5,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,10,1,3,,,,,,,,,,,,,,,,,,,,,6,6,6,5,6,4,6,5,5,1,2,5,5,5,2,5,4,5,4,8,5,4,8,7,1,4,4,5,1,1,,,3
4578,46,17112017,0,28,0,0,0,,1,4,,1,,,3,1,1,3,,,5,2,5,1,5,1,5,5,5,5,5,5,4,5,3,5,4,5,5,1,5,5,5,5,7,3,,,,4,4,3,4,2,4,4,4,2,3,4,3,2,2,3,4,1,3,4,3,5,6,5,4,6,4,4,2,6,8,3,8,4,5,4,5,5,8,3,4,1,3,7,4,4,6,1,1,,,5
9746,46,17112017,1,25,0,0,0,,1,4,,1,,,1,2,7,,,,4,4,4,4,4,1,4,4,4,4,4,99,99,4,4,4,4,4,4,4,4,4,4,4,8,2,,,,3,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,3,1,1,1,1,4,2,1,1,1,1,3,1,5,4,6,4,4,4,1,4,3,6,8,5,6,1,1,,,4
8397,46,16112017,0,64,0,0,0,,3,1,,0,,,1,3,,,,,1,5,1,4,,5,2,1,1,1,1,2,1,1,1,3,2,3,1,1,1,1,1,2,3,3,,,,3,1,1,1,1,1,3,3,1,1,1,2,1,2,2,1,1,2,1,1,1,1,3,2,1,7,8,9,8,5,8,9,2,,,,,,,,,,,,,2,1,0,3,Had geen positieve zaken te vermelden,4
7508,47,21112017,1,49,0,0,0,,3,3,,0,,,5,2,2,,,,5,1,5,1,4,1,5,5,5,5,5,4,4,5,4,5,4,4,5,4,4,5,4,5,9,3,,,,1,4,4,3,3,3,4,3,5,2,4,4,2,3,2,3,3,4,4,8,6,5,4,4,3,4,7,6,8,5,5,6,5,4,1,6,5,8,4,5,8,1,7,6,4,1,1,1,,,4
3691,47,21112017,1,40,0,0,0,,1,5,inwonend bij vader,0,,,1,3,,,,,4,2,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,3,,,,2,99,99,1,1,1,1,1,1,1,1,1,1,1,1,1,,5,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,5,5,1,1,7,1,1,1,1,3,2,1,8,0,0,,,4
9368,47,22112017,0,26,0,0,0,,1,1,,2,,,5,1,2,,,,4,3,3,3,4,2,4,4,4,3,4,99,99,4,3,4,4,4,4,4,4,4,4,4,8,1,5,,opleiding met behoud van uitkering,,,,,,,,,,,,,,,,,,,6,6,6,7,6,6,6,4,4,3,3,3,3,3,5,5,4,5,5,,2,5,8,7,1,4,2,14,0,0,,,4
2996,48,28112017,0,28,0,2,0,2,1,3,,2,3,6,3,2,2,,,,4,3,4,2,3,1,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,5,9,2,4,,,4,4,3,3,3,3,3,3,4,2,1,1,3,3,2,2,5,4,1,1,3,1,5,1,1,2,1,5,4,4,4,3,4,5,4,5,5,8,4,5,6,7,1,1,4,4,1,1,,,5
1469,48,30112017,1,22,11,11,6,,1,1,,1,,,4,3,,,,,,5,5,2,4,1,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,10,3,,,,3,5,3,4,4,4,4,4,4,4,4,5,4,3,3,3,0,0,7,7,8,7,7,7,6,1,2,1,1,1,1,1,5,5,4,5,5,8,2,5,7,7,1,3,2,12,0,0,,,4
9216,48,30112017,0,33,0,12,0,6,2,3,,0,,,4,1,2,,,,5,2,5,2,5,1,5,1,5,5,5,5,99,5,5,5,5,5,4,99,4,5,5,5,9,3,,,,5,4,3,2,3,3,4,4,3,3,2,4,3,3,4,3,2,4,4,4,5,4,4,5,5,5,5,5,5,5,4,4,2,5,4,5,6,8,3,5,2,7,1,1,1,5,1,1,,,4
1854,48,1122017,1,57,0,0,0,,1,1,,2,,,4,2,3,,,,4,2,4,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,3,,,,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,4,3,5,5,5,5,4,4,7,6,2,2,2,2,2,2,5,4,5,5,8,3,5,8,7,1,1,4,4,1,1,,,5
6768,49,5122017,1,21,0,0,0,,1,5,inwonend bij ouders,0,,,3,2,3,,,,4,1,5,2,4,1,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,4,5,9,2,,,,4,3,3,2,3,2,4,4,3,3,4,4,2,2,2,3,3,3,4,4,4,1,3,4,5,6,6,2,5,7,7,7,4,5,1,5,4,8,4,5,3,3,4,5,4,2,1,1,,,4
8816,50,11122017,1,56,0,0,0,,1,1,,2,6,,4,2,2,,,,5,2,4,2,4,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,8,3,,,,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,6,6,6,5,5,6,6,5,6,4,4,3,3,5,2,5,4,5,4,8,2,5,7,7,7,4,7,9,0,0,,,4
7018,50,11122017,0,25,0,0,0,,1,5,inwonend bij ouders,0,,,3,2,2,3,,,4,1,4,2,5,1,4,4,4,4,4,99,99,4,4,4,4,4,4,4,4,4,4,4,8,2,,,,3,3,2,2,2,3,2,3,2,3,2,3,2,2,2,2,,,5,4,4,4,3,3,3,3,2,3,4,4,3,3,2,5,4,5,6,8,7,1,2,1,4,8,4,14,0,0,,,4
7971,50,11122017,0,60,0,0,0,,3,1,,2,,,4,3,,,,,5,2,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,2,2,2,2,2,2,3,9,1,9,9,2,5,5,6,5,4,4,3,4,7,7,1,7,1,1,1,,,5
2075,50,12122017,1,23,0,13,0,,1,1,,1,,,4,2,9,,,dagbesteding volwassenen,4,2,4,1,3,1,5,3,4,4,99,99,4,5,5,4,4,4,4,4,4,4,4,4,8,1,2,,,,,,,,,,,,,,,,,,,,,5,7,7,6,8,8,8,2,1,1,1,8,1,1,2,5,4,5,5,8,2,5,6,7,1,7,7,2,1,1,,,5
3132,50,12122017,1,61,0,0,0,,3,1,,6,,,4,2,3,,,,5,2,1,1,4,99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,3,,,,3,1,2,3,3,3,3,3,3,1,3,3,1,1,1,1,5,4,6,3,7,5,7,7,7,5,7,1,1,6,6,6,3,5,4,5,3,8,3,5,8,7,1,1,2,4,1,1,,,5
4990,50,13122017,0,22,0,0,0,,1,5,inwonend bij ouders,2,,,4,2,2,,,,4,2,3,2,3,1,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,8,3,,,,4,4,4,2,3,3,3,4,4,1,2,3,3,2,2,3,2,3,5,5,4,3,3,4,2,5,6,5,5,6,5,4,3,5,4,5,6,8,3,2,2,3,3,5,7,14,0,0,,,4
2512,50,14122017,0,37,0,0,0,,3,5,met kinderen inwonend bij vader,1,,,5,2,2,,,,99,2,3,2,3,2,4,4,4,4,4,99,99,4,5,5,5,5,5,5,5,5,5,5,9,1,1,2,,,,,,,,,,,,,,,,,,,,3,2,3,1,3,2,2,8,8,1,1,1,8,9,2,5,4,5,5,8,2,5,8,7,7,1,6,11,0,0,,,
3800,50,14122017,0,25,0,0,0,,1,3,,0,,,3,3,,,,,5,2,5,1,5,1,4,4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,8,3,,,,2,4,4,1,4,3,4,4,3,2,3,4,3,3,3,2,1,4,3,3,2,2,3,2,2,6,5,4,4,1,3,3,4,5,4,5,1,8,3,5,6,7,7,4,4,7,1,1,,,4
7763,50,15122017,0,27,0,15,7,,1,1,,0,,,5,2,9,,,stage,4,2,4,1,4,1,4,3,4,2,5,5,3,3,99,4,4,4,4,3,4,4,4,4,8,3,,,,4,5,3,2,3,4,4,5,5,2,3,3,3,2,3,3,3,4,4,5,5,4,5,5,5,4,4,2,2,2,2,1,4,5,4,5,4,8,1,6,2,3,7,5,7,11,0,0,,,5
7325,51,19122017,0,29,0,0,0,,1,3,,0,,,4,1,1,,,,5,2,4,2,4,2,5,4,4,4,4,4,99,4,4,5,5,5,5,5,5,5,5,5,8,1,4,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,8,8,8,7,7,7,6,2,2,2,3,1,2,2,1,5,4,5,4,8,3,5,6,,,,7,5,1,1,,,4
5820,51,19122017,0,26,0,0,0,,1,1,,2,,,5,2,2,,,,4,3,2,2,4,2,5,5,4,4,4,4,2,4,4,4,4,4,4,4,4,5,4,4,7,3,,,,4,5,4,3,4,5,5,5,5,4,4,5,4,4,3,3,3,4,7,7,6,7,7,7,7,4,4,4,6,4,6,7,3,5,4,5,4,8,5,5,7,7,7,1,7,6,1,1,,,4
8344,51,19122017,1,18,0,0,0,,1,1,,1,,,3,2,3,,,,5,2,5,2,5,1,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,9,1,2,,,,,,,,,,,,,,,,,,,,,7,7,8,6,9,7,7,2,1,1,1,1,1,1,2,5,4,5,5,8,3,5,8,6,7,1,7,14,0,0,,,4
3323,51,18122017,1,52,0,14,0,,3,1,,2,,,4,,,,,,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,8,3,,,,4,4,4,3,4,3,4,4,4,4,2,2,2,2,1,1,5,4,8,8,8,5,8,8,7,5,5,4,5,4,2,1,1,,,,,8,5,5,7,8,6,8,8,5,1,1,,,3
1857,51,20122017,0,48,0,0,0,,1,1,,0,,,3,3,,,,,4,2,4,2,3,2,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,8,4,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,9,9,5,3,1,6,7,3,5,1,5,3,3,6,7,7,6,7,2,8,10,0,0,,,4
1122,51,20122017,1,56,0,0,0,,3,1,,0,,,3,3,,,,,4,2,4,2,4,1,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,9,2,,,,1,3,2,1,3,2,3,3,2,1,2,3,1,1,1,1,1,2,1,1,4,4,4,4,3,8,8,8,9,7,8,9,2,5,4,5,5,8,3,5,1,7,7,1,7,4,1,1,,,5
5337,51,20122017,1,20,0,16,0,,1,1,,0,,,1,2,8,,,,4,1,4,1,4,1,2,4,4,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,9,1,5,,vrijwiligerswerk,,,,,,,,,,,,,,,,,,,5,4,3,3,4,3,7,7,5,1,6,6,6,8,2,5,4,5,6,8,2,5,6,7,1,1,2,6,1,1,,,4
