id,week,date,male,age,nationality,origin,language_1,language_2,civil,hcomp,hcomp_other,benefit_2y_1,benefit_2y_2,benefit_2y_3,educ,work_2y,work_2y_type_1,work_2y_type_2,work_2y_type_3,work_2y_type_other,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,cont_1,cont_2,cont_3,cont_4,cont_5,cont_6,cont_7,cont_8,cont_9,cw_1,cw_2,cw_3,cw_4,cw_5,cw_6,cw_7,cw_8,cw_9,sat,exempt,exempt_reason_1,exempt_reason_2,exempt_reason_other,eff_beh_1,eff_beh_2,eff_beh_3,eff_beh_4,eff_beh_5,eff_beh_6,eff_beh_7,eff_beh_8,eff_beh_9,eff_out_1,eff_out_2,eff_out_3,eff_out_4,eff_out_5,eff_out_6,eff_out_7,intensity_pl,effort_pl,sw_01,sw_02,sw_03,sw_04,sw_05,sw_06,sw_07,sw_08,sw_09,sw_10,sw_11,sw_12,sw_13,sw_14,soc_belonging,rm_01,rm_02,rm_03,rm_04,rm_05,rm_06,rm_07,rm_08,rm_09,rm_10,rm_11,rm_12,cw,treatment,sa,sa_reason,sa_reason_other,cw_ass
6487,44,31102017,0,22,0,4,0,4,1,5,thuis inwonend met moeder,0,,,3,4,,,,,4,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,3,,,,4,4,3,1,3,4,3,4,4,4,4,4,4,3,4,3,1,3,3,3,3,3,3,3,5,5,4,4,4,5,4,4,3,5,4,5,5,8,2,5,6,7,1,1,2,13,0,0,,,4
1253,44,3112017,1,60,0,0,0,,1,1,,1,2,6,4,2,6,,,,4,2,4,2,4,2,4,4,4,5,5,4,4,5,4,5,5,4,5,5,5,5,5,5,8,3,,,,3,4,3,2,3,4,4,4,5,3,3,4,3,3,2,2,2,4,3,3,5,4,5,5,6,5,6,7,3,3,6,5,3,5,5,1,4,8,3,5,,7,,1,8,1,1,1,,,5
1190,45,6112017,0,28,0,0,0,,1,1,,1,2,,4,1,1,2,3,,3,3,3,3,4,1,5,5,5,5,5,5,2,5,4,4,4,4,4,4,4,4,4,4,9,1,1,,,,,,,,,,,,,,,,,,,,,2,4,4,1,2,3,6,5,4,1,1,6,3,3,2,5,4,5,5,8,4,5,2,7,1,7,7,5,1,1,,,3
6253,45,6112017,1,34,0,0,0,,1,1,,2,3,,3,3,,,,,2,3,1,5,2,3,4,3,2,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,7,4,,,,3,1,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,8,8,6,8,6,8,8,2,5,4,1,5,8,3,5,7,7,7,,7,10,0,0,,,3
9190,45,6112017,0,62,0,0,0,,4,1,,0,,,3,1,8,,,,4,3,3,4,4,3,4,4,2,4,4,99,99,99,4,4,4,4,4,4,4,4,4,4,7,1,2,,,,,,,,,,,,,,,,,,,,,6,5,5,4,5,5,4,4,3,4,4,3,5,7,4,5,4,5,4,8,3,5,,7,7,1,,11,0,0,,,4
8808,45,7112017,0,54,0,5,0,,3,3,,0,,,4,3,,,,,99,99,5,99,99,99,5,5,99,5,99,99,99,5,99,5,5,5,5,5,5,4,4,5,8,3,,,,2,2,4,,,,,,,,,,,,,,4,,1,1,1,1,1,1,1,1,7,7,6,1,7,6,2,5,4,5,4,8,3,5,7,7,1,8,7,9,0,0,,,4
1418,45,8112017,0,46,0,6,0,,1,1,,2,,,5,1,2,8,,,4,2,4,2,4,2,5,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,8,3,,,,4,5,5,5,5,5,5,5,5,2,3,4,4,2,3,4,5,5,7,7,7,7,7,6,8,6,3,3,7,2,6,3,3,5,4,5,5,8,3,5,6,7,1,1,3,10,0,0,,,4
4974,45,8112017,1,29,0,0,0,,1,5,thuis inwonend met ouders,2,,,3,2,3,,,,4,2,4,3,4,1,5,4,4,5,5,4,3,4,3,4,4,4,4,4,4,3,4,3,7,3,,,,4,4,3,3,3,2,4,4,4,1,5,4,3,3,4,3,5,5,4,4,5,5,6,7,5,2,6,3,3,2,2,2,,5,4,5,2,8,3,5,2,7,1,6,7,5,1,1,,,4
1431,45,8112017,1,37,0,7,0,,1,1,,0,,,4,2,1,,,,4,2,4,2,5,1,4,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,8,3,,,,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,2,4,4,4,5,3,3,4,8,7,7,5,5,8,7,5,3,5,4,5,6,8,5,8,2,5,6,7,7,2,1,1,,,5
4837,45,9112017,0,48,0,0,0,,1,3,,3,,,5,3,,,,,5,1,4,2,5,1,5,5,5,5,5,99,99,5,5,5,5,5,5,5,5,5,5,5,9,2,,,,5,3,3,2,3,3,5,5,5,3,3,3,3,3,1,2,1,3,5,5,6,5,5,5,7,6,6,3,2,2,3,2,6,5,4,5,5,8,3,5,7,7,1,5,2,11,0,0,,,
